sentence,target_word,context_sentence,target_level,system_id
十一月の初めだった。,初め,十一月の初めだった。,N1,3
大学に入学する初めの日、緊張と期待が入り交じっていた。,初め,十一月の初めだった。,N1,3
新しいプロジェクトの初めは困難な課題に満ちていた。,初め,十一月の初めだった。,N1,3
彼女と出会った初めの瞬間、彼は一目惚れした。,初め,十一月の初めだった。,N1,3
友達との旅行の初めは楽しい思い出でいっぱいだった。,初め,十一月の初めだった。,N1,3
仕事の初めに目標を明確にすることは成功への重要な一歩だ。,初め,十一月の初めだった。,N1,3
旅行の初めに、美しい寺院を訪れました。,初め,十一月の初めだった。,N1,3
新しいイベントの初めは、盛大なパーティーで祝われました。,初め,十一月の初めだった。,N1,3
留学の初めには、新しい友達を作ることが大切です。,初め,十一月の初めだった。,N1,3
スポーツの新シーズンの初めは、選手たちにとって大きな挑戦です。,初め,十一月の初めだった。,N1,3
夏休みの初めには、家族で海に行くことが定番です。,初め,十一月の初めだった。,N1,3
