sentence,target_word,context_sentence,target_level,system_id
原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,前,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,N5,3
私は友達の前で笑顔で話すことができます。,前,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,N5,3
先生の前で緊張してしまいます。,前,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,N5,3
公園の前には美しい花が咲いています。,前,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,N5,3
スーパーマーケットの前には長い行列ができていました。,前,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,N5,3
彼は友達の前で緊張してしまう。,前,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,N5,3
飛行機の前で荷物を落としてしまった。,前,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,N5,3
私は先生の前でプレゼンテーションをする。,前,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,N5,3
彼女は部長の前で素直な意見を述べた。,前,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,N5,3
昨日、家族の前で驚くべきニュースを聞きました。,前,原作では創造主の下僕でもあり、モコナの前では謙遜した態度をとる。,N5,3
