sentence,target_word,context_sentence,target_level,system_id
クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
小さな川の中に、青い魚が泳いでいる。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
青い空の下で、子供たちは楽しそうに遊んでいます。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
私のお気に入りの花は、青い色のバラです。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
彼女は、青い目と金髪が特徴的な美しい女性です。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
青い海を眺めながら、私はリラックスしています。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
青い空を見上げると、心が穏やかになる。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
彼は青い制服を着て学校へ行った。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
あの川には透き通った青い水が流れている。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
お母さんは青い瞳を持っている。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
子供たちは青い風船を追いかけて走り回った。,青い,クリスタルを取得すると以降は同じ位置に青い星のかけらが配置される。,N5,3
