sentence,target_word,context_sentence,target_level,system_id
電話をかけることを習いました。,電話,電話をかけることを習いました。,N3,2
友達に電話しようとしたら、相手は留守電だった。,電話,電話をかけることを習いました。,N3,2
彼女から電話がかかってきた。,電話,電話をかけることを習いました。,N3,2
彼は私に電話をかけてくれた。,電話,電話をかけることを習いました。,N3,2
お互いにメールや電話でメッセージを送れるんだ。,電話,電話をかけることを習いました。,N3,2
「電話の使い方を学びました」,電話,電話をかけることを習いました。,N3,2
「電話が鳴ったら取るようにしている」,電話,電話をかけることを習いました。,N3,2
「電話で友人と話す練習をする」,電話,電話をかけることを習いました。,N3,2
「今日は電話ばかりしていた」,電話,電話をかけることを習いました。,N3,2
私は電話のかけ方を習った。,電話,電話をかけることを習いました。,N3,2
あなたは電話で話す練習をしましたか？,電話,電話をかけることを習いました。,N3,2
彼女は友人に電話をかけた。,電話,電話をかけることを習いました。,N3,2
彼に電話をかけてみた。,電話,電話をかけることを習いました。,N3,2
あなたから電話がかかってきた。,電話,電話をかけることを習いました。,N3,2
私は日本に電話をかけました。,電話,電話をかけることを習いました。,N3,2
あなたは彼女に電話をしましたか？,電話,電話をかけることを習いました。,N3,2
彼は会社に電話をします。,電話,電話をかけることを習いました。,N3,2
彼らは何時に電話するのだろう？,電話,電話をかけることを習いました。,N3,2
