sentence,target_word,context_sentence,target_level,system_id
英吉利語を教える報酬は僅かに月額六十円である。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
彼はピアノを教えるために毎週教室に通っています。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
私のおばあさんは孫に釣りの楽しみを教えています。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
彼女は自分の経験から他人に人生の教訓を教えている。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
試験の前に友達が数学を教えてくれました。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
先生は新しいプログラミング言語を学ぶ生徒に毎週のように教える。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
彼はピアノを教えることで生計を立てている。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
私は子供たちにプログラミングを教えることが好きです。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
高校生に数学を教えるのは挑戦的ですが、やりがいもあります。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
私の祖母は若者たちに伝統の踊りを教えています。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
ボランティア活動の一環として、外国人に日本語を教えるボランティアに参加しました。,教える,英吉利語を教える報酬は僅かに月額六十円である。,N1,3
