sentence,target_word,context_sentence,target_level,system_id
但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
保護観察のプログラムにより、新たな文化が少年たちの行動に影響を与えました。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
政府は国内の伝統的な文化を保護し、継承するための取り組みを行っています。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
日本のポップカルチャーは世界中に広がり、異なる文化との融合をもたらしました。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
グローバル化の影響により、現代の若者の文化は急速に変化しています。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
文化交流は相互理解を深め、異文化間のコミュニケーションを促進する重要な役割を果たしています。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
私たちの生活は地域の文化と密接に結びついています。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
子供たちには自分たちの伝統的な文化を大事にすることを教えたい。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
世界中の異なる文化を学ぶことは、私たちの視野を広げる素晴らしい経験です。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
私たちの文化は、芸術や音楽などさまざまな形で表現されています。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
文化の多様性は社会の豊かさをもたらします。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,3
