sentence,target_word,context_sentence,target_level,system_id
一人のこらず死んだような場所もあります。,場所,一人のこらず死んだような場所もあります。,N1,3
ロッククライミングができる最高の場所を探しています。,場所,一人のこらず死んだような場所もあります。,N1,3
秘密の会議は安全な場所で行われました。,場所,一人のこらず死んだような場所もあります。,N1,3
散歩の場所として最適です。,場所,一人のこらず死んだような場所もあります。,N1,3
デートの場所を決めるのはいつも彼女の役割です。,場所,一人のこらず死んだような場所もあります。,N1,3
静かな場所で本を読むのが好きです。,場所,一人のこらず死んだような場所もあります。,N1,3
私は静かな場所で本を読むのが好きです。,場所,一人のこらず死んだような場所もあります。,N1,3
その島は美しい場所で、毎年多くの観光客が訪れます。,場所,一人のこらず死んだような場所もあります。,N1,3
彼は自然の中でのんびりと過ごす場所を探しています。,場所,一人のこらず死んだような場所もあります。,N1,3
あの公園は子供たちに人気のある遊び場所です。,場所,一人のこらず死んだような場所もあります。,N1,3
新しいレストランは快適な場所で美味しい料理を提供しています。,場所,一人のこらず死んだような場所もあります。,N1,3
