sentence,target_word,context_sentence,target_level,system_id
空からはちらほらと、たゆたいながら雪が落ち始める。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
このゲームを始めるよ！,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
今日の練習を始めるよ！,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
何か始めようかな？,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
また新しいことを始めてみようかな。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
「始めての経験だ」,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
「何を始めるにも遅すぎることはない」,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
この仕事を始めてもう一年経つんだね。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
さあ、そろそろ新しい本を読み始める時間だ。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
誰かが始めない限り、物事は始まらない。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
何かを始めるのに遅すぎるということはない。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
何事も始めるのは大変なことだ。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
私たちは新しいアイデアを始めるのに時間がかかる。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
彼女は料理を始めて数ヶ月になる。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
彼はこのプロジェクトを始める前に徹底的に調査した。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
今日はこれを始めるためにここに来たんだ。,始める,空からはちらほらと、たゆたいながら雪が落ち始める。,N3,2
