sentence,target_word,context_sentence,target_level,system_id
遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N3,2
あなたも入れますよ。,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N3,2
「僕が持っているものを入れてください」,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N3,2
「入れてください」,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N3,2
「入れますよ」,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N3,2
「入れた方がいいですよ」,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N3,2
「入れてくれないか？」,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N3,2
「入れてくれるかい？,入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N3,2
「入れてください」(Please put it),入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N3,2
「何かを入れる」(To put something),入れる,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,N3,2
