sentence,target_word,context_sentence,target_level,system_id
卵から産まれて成虫になるまでの間の成長過程のものを指す。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵は、孵化するまで親鳥の腹の中で育つ。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵が孵化すると、雛は親鳥によって世話される。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵には栄養分が含まれているため、食用となります。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵は生でも食べられるし、調理してもおいしい。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵はコレステロールを多く含むため、健康上の問題を引き起こす可能性があるので注意が必要だ。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵は、生で食べると栄養満点だが、火を通すと消化しやすい。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵はコレステロールが多いため、健康的ではないという人もいるが、私はそう思わない。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
なぜなら、卵には良質なタンパク質やビタミン類が含まれているからだ。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵はさまざまな料理に使える万能食材だ。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵は非常に便利な食材なので、常備しておくと何かと役に立つ。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵は冷蔵庫に保存すると長持ちする。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
鶏が産んだ卵は、孵化した後もしばらく親鳥の口の中にある。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
「卵は殻と中身がある」,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
「卵はゆで卵や目玉焼きなど様々な料理に使われる」,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
「卵は栄養満点で、健康にも良い」,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
「卵はとてもデリケートなので注意して扱う必要がある」,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
「卵はたくさんの人たちにとって大切な食品である」,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵は生で食べることができ、焼いてもおいしい。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵は栄養価が高く、健康的な食品である。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵はコレステロール値を下げるのに効果的である。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵は様々な料理に使われ、食卓には欠かせない食材である。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
卵はビタミンやミネラルなどの栄養素を豊富に含んでいる。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N1,2
