sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
この場所はとても汚かった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
ここは本当に汚いところだ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
この店はとても汚くて、食べ物も不味かった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
彼の部屋はとても臭いし、掃除してもすぐに汚くなる。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
彼女のアパートはとても汚くて、まるでゴミ捨て場のようだ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
あなたには悪いけど、ここはとても汚い場所だからあまり近づかないほうがいいよ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
あのレストランはいつも汚くて食べたくない。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
貝の殻を敷き詰めた細い汚い路地で、貧しい人たちが住んでいるような家並みだ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
この路地はとても狭くて汚く、人通りもまばらだ。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
貝がらを敷き詰めた細い汚い横町で、貧民窟とでも言いたくなるような家並みだった。,汚い,貝殻を敷いた細い汚い横町で、貧民窟とでもいいそうな家並だ。,N1,2,9,I
