sentence,target_word,context_sentence,target_level,system_id
学校の外では「広場の王様」とあだ名されたという。,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
授業の外で勉強することがある。,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
家の外に出るとき、ドアを開けておく。,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
会社の外には灰皿がたくさんある。,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
公園の外は静かだ。,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
日本庭園の外から見る紅葉も美しい。,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
会社の外で仕事をしている人は、とても忙しそうに見えた。,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
公園の外で遊ぼうよ！,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
今日は雨が降っていて、外に出るのが億劫だ。,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
私たちは家の外からゴミを捨てている。,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
街中で人にぶつかることはほとんどないが、公園などの外では注意しなければならない。,外,学校の外では「広場の王様」とあだ名されたという。,N3,2
