sentence,target_word,context_sentence,target_level,system_id
そして弾丸が始終高い所ばかりを飛ぶようになった。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
彼女は背が高くて美しい。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
彼は背が高くハンサムだ。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
そのビルはとても高かった。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
私たちの飛行機は、雲よりもずっと高く飛んだ。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
あの建物の中はとても高くて、私にはとても見えない。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
その家はとても大きくて、値段も高い。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
彼は背が高くてハンサムだ。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
彼女は背が高くてスタイルがいい。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
それはあまり高くなくて、簡単に登れた。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
彼は背が高く、ハンサムだ。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
彼女は背が高く、スタイルがいい。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
そのビルは高さが60メートルもある。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
それはとても高い山で、私たちには登れない。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
東京はとても高く、ビルの高さは世界で一番だ。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
家から駅まで歩いて行く途中、私はとても高くそびえ立つビルディングを見た。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,2
