sentence,target_word,context_sentence,target_level,system_id
囚人虐待事件への対応などの影響から退任を求める声が出始めた。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
私は新しい仕事を求めている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
彼は昇進を求めている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
彼女は結婚を求めている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
政府は国民にもっとお金を求めるべきである。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
彼女は彼にもっと努力するよう求めるべきだ。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
あなたは私たちより多くのことを求めている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
そのためには電力会社に対して強く求める必要がある。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
刑務所で受刑者に暴行を加えるような問題行為には厳しく対処する必要があると考え、そのため辞任を求める声が上がっている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
また、同社にとって重要な顧客情報管理システムのセキュリティ対策強化といった課題解決に向けた具体策を打ち出し、信頼回復に努めることが求められている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
刑務所内における暴行・虐待事件への対応などの影響から、退任を求める声が出始めた。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
このままでは社員の士気が下がる一方なので、社長に退任を求める手紙を書いた。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
そのため、取締役会に対し、新商品の発売延期を求める手紙を書きました。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
刑務所内で行われた囚人虐待事件への対応などの影響から退任を求める声が出始めた。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
このままでは、会社に将来性がないことは明らかなので、社長には退任を求める声が多い。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
ある政党にとって都合の悪い人物については、そのような人物に対する批判や辞任を求める声が高まる。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
そんな思いから、彼に対して辞職を求める声が上がっている。,求める,囚人虐待事件への対応などの影響から退任を求める声が出始めた。,N1,2
