sentence,target_word,context_sentence,target_level,system_id
新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N3,3
向かってくる車の前を横切り、私は急いで道路を走った。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N3,3
山道を走りながら、息を切らせて景色の美しさに魅了された。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N3,3
学校の校庭を駆け抜け、友達と一緒に競争して走った。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N3,3
激しい雨の中、彼は傘をさし忍び足で走って家に帰った。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N3,3
飛行機の出発時間が迫っていたので、私は空港のコンコースを走って行った。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N3,3
近所の子供たちが公園で元気に走っている。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N3,3
大会の開会式の際、選手たちが大きな歓声を浴びながら競技場を走る。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N3,3
電車のホームに走って行って、まだ間に合うかもしれない。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N3,3
朝早く起きて、海辺を走るのは気持ちがいい。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N3,3
