sentence,target_word,context_sentence,target_level,system_id
一方で投機にも手を出しては失敗を重ねていた。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
手を挙げて質問してください。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
親切な人が手を差し伸べてくれました。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
食べ物を手に取りました。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
手を繋いで一緒に歩きましょう。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
彼は趣味として絵を描くことに手を染めています。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
彼は手を振って別れを告げた。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
雨が降ってきたので、手に傘を持って出かけました。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
料理が上手になるために、彼は手を動かして練習しています。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
彼女は手を広げて世界を迎えました。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
子供たちは手をつないで公園を散歩しました。,手,一方で投機にも手を出しては失敗を重ねていた。,N5,3
