sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,2,8,I
彼は何かを持っているようだ。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,2,8,I
彼女は私よりたくさんのものを持っている。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,2,8,I
favorite dish is sushi.1.右手で持っていたスプーンを左手でも持てるようになったんだ。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,2,8,I
何も持たずに生きるなんて考えられない！,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,2,8,I
この本を持って帰りたいんだけど？,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,2,8,I
あなたは何も持っていない,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,2,8,I
今日はとても寒いので、コートを持って行こう。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,2,8,I
私たちは日本で車を買ったから、運転免許証を持っている。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,2,8,I
この部屋にはたくさんの本があるから、読むための本も持ってきた。,持つ,またお箸の手が違ったよといえば、すぐ右に直すけれど、少しするとまた左に持つ。,N1,2,8,I
