sentence,target_word,context_sentence,target_level,system_id
罪人はおとなしく椅子に腰を掛ける。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
彼は病院の壁に絵を掛ける。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
ネックレスを首に掛けると、服装がもっとおしゃれに見える。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
ウィンドウにカーテンを掛けると、部屋の雰囲気が一変する。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
彼女は鞄を肩に掛けて、駅に向かった。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
画面に映像を掛ける前に、プロジェクターの設定を確認してください。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
私は仕事に集中するためにヘッドフォンを耳に掛ける。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
彼は朝の光を浴びながらベランダの手すりに腕を掛けて静かに寛いでいる。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
彼女は大きな帽子を頭に掛けて太陽を避ける。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
子供たちは新しい絵本を読むためにテーブルに足を掛けて集中している。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
先生は白いコートを身に掛けて実験室に入っていった。,掛ける,罪人はおとなしく椅子に腰を掛ける。,N1,3
