sentence,target_word,context_sentence,target_level,system_id
本人の意思が強ければ止められるわ。,強い,本人の意思が強ければ止められるわ。,N5,3
彼は運動が好きで、強い体を持っています。,強い,本人の意思が強ければ止められるわ。,N5,3
彼の強い意志力は何事にも打ち勝つ力となる。,強い,本人の意思が強ければ止められるわ。,N5,3
雨が降っても、彼の強い意欲は変わらず続きます。,強い,本人の意思が強ければ止められるわ。,N5,3
彼女は強い信念を持って、正義のために戦っています。,強い,本人の意思が強ければ止められるわ。,N5,3
彼の強いリーダーシップはチームを成功に導きました。,強い,本人の意思が強ければ止められるわ。,N5,3
私は強い意志で目標に向かって進みます。,強い,本人の意思が強ければ止められるわ。,N5,3
彼女は強い信念を持って人権を守っています。,強い,本人の意思が強ければ止められるわ。,N5,3
その映画は強いメッセージを伝えています。,強い,本人の意思が強ければ止められるわ。,N5,3
彼は強い個性を持っているので、周りから注目されています。,強い,本人の意思が強ければ止められるわ。,N5,3
強い風が吹いているので、気をつけて歩いてください。,強い,本人の意思が強ければ止められるわ。,N5,3
