sentence,target_word,context_sentence,target_level,system_id
このような動物は頭の真ん中に角が生えている。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
先生はいつも頭の中にたくさんのアイデアがある。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
彼女は頭がいいので、新しい言語を短時間で学ぶことができる。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
頭にきたので、怒鳴り声を上げてしまった。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
プロジェクトの成功はチームの頭の働きにかかっている。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
雨に濡れた頭を乾かすために、タオルで髪を拭いた。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
サッカー選手は、ヘディングする際に頭を使います。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
朝起きると、頭が痛くて集中できません。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
彼は頭がよくて、難しい問題をすぐに解決できます。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
あの映画は、考えさせられるストーリーで頭が混乱します。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
頭の中にアイデアが浮かびましたので、すぐにメモしました。,頭,このような動物は頭の真ん中に角が生えている。,N3,3
