sentence,target_word,context_sentence,target_level,system_id
写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
考えを進めるために、何度も繰り返し練習する必要があります。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
新しいプロジェクトに取り組むために、計画を進める必要があります。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
チームのメンバーと協力して、共同プロジェクトを進めましょう。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
成功への道を進めるために、努力と忍耐が必要です。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
この研究を進めるためには、新しいデータを収集する必要があります。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
このプロジェクトを成功させるためには、計画を進める必要があります。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
学習を進めるためには、毎日少しずつ勉強していくことが大切です。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
社会貢献活動を進めるためには、ボランティアに参加することが重要です。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
仕事の効率を上げるためには、タスクの優先順位を明確化して進める必要があります。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
新しいビジネスを立ち上げるには、市場調査や顧客ニーズの研究を進めることが欠かせません。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N5,3
