sentence,target_word,context_sentence,target_level,system_id
その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
彼は姉にプレゼントを上げた。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
私は友達と一緒に山を上げた。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
先生が私たちに課題を上げた。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
彼女は髪を上げて帽子をかぶった。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
お店では価格を上げた。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
彼は手紙を書くとき、いつも心を込めて上げる。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
私は友達にプレゼントを上げる予定だ。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
先生は生徒たちの努力を称えて賞を上げた。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
彼女は毎朝早起きして、家族のために朝食を上げる。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
彼は困っている人に手を差し伸べて上げることを大切にしている。,上げる,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,N5,3
