sentence,target_word,context_sentence,target_level,system_id
いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,乗る,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,N1,2
私たちは飛行機に乗って旅立った。,乗る,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,N1,2
お金が必要になれば、ポルジイはどんな危険な相談にも乗る。,乗る,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,N1,2
その日の朝、私はバスに乗り遅れた。,乗る,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,N1,2
彼は何もかも乗りこなすことができる。,乗る,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,N1,2
乗ってみてくれよ。,乗る,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,N1,2
この話を聞いていた私は、「乗ってもいいよ」と言った。,乗る,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,N1,2
お金が必要になると、ポルジイはどんな危険な相談にも乗る。,乗る,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,N1,2
この町では自転車専用道路以外で自動車に乗ることは違法だ。,乗る,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,N1,2
彼女は新しい自転車に乗りたいと思っていた。,乗る,いざ金がいるとなると、ポルジイはどんな危険な相談にでも乗る。,N1,2
