sentence,target_word,context_sentence,target_level,system_id
自分が自分の心でするべき事だ。,する,自分が自分の心でするべき事だ。,N1,3
頭を使って考えることをすることが大切です。,する,自分が自分の心でするべき事だ。,N1,3
約束を守ることをすることが誠実さの表れです。,する,自分が自分の心でするべき事だ。,N1,3
目標に向かって努力をすることが成功への鍵です。,する,自分が自分の心でするべき事だ。,N1,3
自己研鑽をすることがスキルアップにつながります。,する,自分が自分の心でするべき事だ。,N1,3
健康のために運動をすることが重要です。,する,自分が自分の心でするべき事だ。,N1,3
彼は毎日勉強することを決めました。,する,自分が自分の心でするべき事だ。,N1,3
明日会議を開催する予定です。,する,自分が自分の心でするべき事だ。,N1,3
彼女は自分の夢を追い求める覚悟をしています。,する,自分が自分の心でするべき事だ。,N1,3
地域の発展のために積極的に貢献することが重要です。,する,自分が自分の心でするべき事だ。,N1,3
