sentence,target_word,context_sentence,target_level,system_id
卵から産まれて成虫になるまでの間の成長過程のものを指す。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N5,3
卵は料理の基本的な材料です。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N5,3
春になると、卵を使ったお菓子がたくさん売られます。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N5,3
子供たちは卵を見つけるのが大好きです。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N5,3
卵は栄養価が高く、体に良い影響を与えます。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N5,3
．卵は鶏の主食です。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N5,3
．新鮮な卵を手に入れました。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N5,3
．おいしい卵料理を作りましょう。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N5,3
．卵の殻を割って中身を入れます。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N5,3
．卵を大事に取り扱ってください。,卵,卵から産まれて成虫になるまでの間の成長過程のものを指す。,N5,3
