target_word,pos,context_sentence,translation,sentence_source,number_hits_in_corpus_cap,number_hits_in_corpus_tot,is_test,is_test_reduced
相手,NOUN,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,"In addition, the East and West were broadcasting propaganda broadcasts that criticised each other.",https://yourei.jp/相手,20000,31137,True,True
合う,VERB,この段階では主鏡の位置合わせが行われておらず、焦点は合っていない。,"At this stage, the main mirror is not aligned, and the focus is not aligned.",https://yourei.jp/合う,8552,8552,True,True
上げる,VERB,その汗を流して手に入れたものを、ただで他に上げるということは出来ない。,You can't give anything else for free what you got by sweating.,https://dictionary.goo.ne.jp/word/上げる/example/,16629,16629,False,False
与える,VERB,一間は這入って来た人に冷やかな、不愉快な印象を与える。,One room gives a cold and unpleasant impression to those who crawl in.,https://dictionary.goo.ne.jp/word/与える/example/,20000,88624,False,False
生きる,VERB,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,I think I can live with myself and others with this power.,https://dictionary.goo.ne.jp/word/生きる/example/,15760,15760,False,False
意味,NOUN,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,"In this sense, it doesn't matter if you say that the conversation has changed direction as he intended.",https://dictionary.goo.ne.jp/word/意味/example/,20000,54918,True,False
入れる,VERB,遠藤はこう言いながら、上衣の隠しに手を入れると、一挺のピストルを引き出しました。,"While saying this, Endo pulled out a pistol when he put his hand in the hiding of his coat.",https://dictionary.goo.ne.jp/word/入れる/example/,20000,36775,False,False
大きい,ADJ,その結果同じ画像をGIFにした場合よりサイズが大きくなってしまう。,"As a result, the size will be larger than if you make the same image into a GIF.",https://yourei.jp/大きい,20000,76803,False,False
教える,VERB,英吉利語を教える報酬は僅かに月額六十円である。,The reward for teaching English language is only 60 yen per month.,https://dictionary.goo.ne.jp/word/教える/example/,16259,16259,False,False
可能,ADJ,現在の旅は非常に多様であり、さまざまに分類することが可能である。,The current journey is very diverse and can be categorised in various ways.,https://yourei.jp/可能,20000,89893,False,False
考える,VERB,私は母の愛というものに就いて考える。,I think about my mother's love.,https://dictionary.goo.ne.jp/word/考える/example/,20000,119599,False,False
関係,NOUN,あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。,I learned about the man who will be in your relationship on a chance.,https://dictionary.goo.ne.jp/word/関係/example/,20000,92047,False,False
技術,NOUN,技術は何によらず練習するより他に上達する道はない。,There is no other way to improve your skills than practising no matter what.,https://dictionary.goo.ne.jp/word/技術/example/,20000,41343,False,False
経済,NOUN,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,"For the economy of California, of course, the cost of a solid gold smoke pipe is nothing.",https://dictionary.goo.ne.jp/word/経済/example/,20000,40284,False,False
現場,NOUN,這入りこんで現場を見届けてやろう。,I'll crawl in and watch the scene.,https://dictionary.goo.ne.jp/word/現場/example/,14742,14742,True,False
子供,NOUN,子供らは古い時計のかかった茶の間に集まった。,The children gathered in the tea room with an old clock.,https://dictionary.goo.ne.jp/word/子供/example/,20000,37657,False,False
時間,NOUN,俺はそこで二時間ほど調べられた。,I was researched there for about two hours.,https://dictionary.goo.ne.jp/word/時間/example/,20000,77591,True,True
市場,NOUN,この四月以来市場には、前代未聞だと云う恐慌が来ている。,"Since this April, there has been an unprecedented panic in the market.",https://dictionary.goo.ne.jp/word/市場/example/,20000,21990,False,False
社会,NOUN,僕は勿論社会科学に何の知識も持っていなかった。,"Of course, I didn't have any knowledge in social science.",https://dictionary.goo.ne.jp/word/社会/example/,20000,48850,False,False
情報,NOUN,水の色が真赤になる情報があったであります。,There was information that the colour of the water became bright red.,https://dictionary.goo.ne.jp/word/情報/example/,20000,48026,True,False
