sentence,target_word,context_sentence,target_level,system_id
これを認める研究者は少ない。,認める,これを認める研究者は少ない。,N3,2
私たちの仕事が認められることは、とても嬉しいことです。,認める,これを認める研究者は少ない。,N3,2
彼は自分の能力を認められたがっている。,認める,これを認める研究者は少ない。,N3,2
私は認めざるを得ない。,認める,これを認める研究者は少ない。,N3,2
彼はそれを認めるしかなかった。,認める,これを認める研究者は少ない。,N3,2
彼女は自分の意見を変えることを認めた。,認める,これを認める研究者は少ない。,N3,2
彼の発言を認めないわけにはいかない。,認める,これを認める研究者は少ない。,N3,2
この事実を認めることができない。,認める,これを認める研究者は少ない。,N3,2
自分の行動を認めるべきだ。,認める,これを認める研究者は少ない。,N3,2
彼女の仕事ぶりを認めるしかない。,認める,これを認める研究者は少ない。,N3,2
彼は自分の力を認めている。,認める,これを認める研究者は少ない。,N3,2
私たちは彼らが成し遂げたことを大いに認めたい。,認める,これを認める研究者は少ない。,N3,2
この本には多くの間違いがあることを認めざるを得ない。,認める,これを認める研究者は少ない。,N3,2
