sentence,target_word,context_sentence,target_level,system_id
自分の意思で、内部に入ろうと思わなければ、中には入れない。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
私は一人でいるのが好きなので、カフェや喫茶店に入ることはあまりない。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
日本では誰もがお風呂に入る習慣がある。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
そうしないと誰かが勝手に入ったりするから。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
部屋に入る,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
お店に入る,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
会社に入る,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
家に入る,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
家に入る前に、郵便受けを見てみよう。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
私は何も考えずにそこに入ってしまった。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
彼はその場所に入ることを拒んだ。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
この部屋に入るには鍵が必要だ。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
ここに入るためには誰かの許可が必要だ。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N5,2
