sentence,target_word,context_sentence,target_level,system_id
写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
彼は仕事を進めた。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
彼女は料理を進めた。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
しかし、もっと早く進めたい。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
進められる4.前に進み続ける,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
写真に写った人物をリアルに表現するためには、写実の歩を進める必要がある。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
日本画には写実的な作品が多いですが、写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。2.彼は自分の進むべき道を知っている。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
進んでいる3.進めている4.前進する5.進行中,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
もっと進めてみよう。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
「進む」という言葉が示すように、物事や状況が前に進んでいることを表す場合：彼女は仕事を進めている。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
彼は勉強を進めている。,進める,写実の歩を進めるとすれば、この点も考慮せられなくてはならぬ。,N1,2
