sentence,target_word,context_sentence,target_level,system_id
私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
生きているのは素晴らしい！,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
自分らしく生きるためには、いろいろな考え方や生き方がある。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
人間は一人では生きていけない。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
助け合いながら生きていくものだ。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
生というものには終わりがなく、生き続ける限り永遠に続く。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
人生において最も大切なことは、「生きる」ことだ。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
彼は自分自身の人生を生きた。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
生きていくためには、お金が必要だ。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
彼は自分の人生を生きることにした。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
君はどう生きるか,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
「生きている」と言うことは、誰かの役に立つということだ。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
だから大切に生きなければならない。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
how to use 生きる in Japanese.,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,2
