sentence,target_word,context_sentence,target_level,system_id
子供らは古い時計のかかった茶の間に集まった。,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
彼らは新しいおもちゃを持ってきたが、そのおもちゃで遊んでいたのは小さな子供だった。,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
日本では昔から子供という概念がある。,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
私には小さな子供がいます。,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
彼は自分の子供時代を懐かしく思っていた。,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
あなたにも子供時代があったはずだ。,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
彼は子供が好きだ。,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
彼女は子供がいなくて寂しがっている。,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
あなたには子供がいるのですか？,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
私たちは子供と一緒に遊んだ。,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
僕も子供が欲しい！,子供,子供らは古い時計のかかった茶の間に集まった。,N3,2
