sentence,target_word,context_sentence,target_level,system_id
一間は這入って来た人に冷やかな、不愉快な印象を与える。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
「私はあなたに何かを与えたいのです」,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
「彼は自分の才能を人々に与えようとした」,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
彼は私たちに食べ物を与えた。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
彼女は仕事を与えた。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
彼らはお金を与えた。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
あなたは時間を与えてくれた。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
彼女は彼にお金を与えた。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
私たちは彼らに食べ物を与えた。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
あなたが望むものなら何でも与えよう。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
与えてくれるの？,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
それは与えられたものだった。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
子供たちはいつも母親から食べ物を与えられていた。,与える,一間は這入って来た人に冷やかな、不愉快な印象を与える。,N3,2
