sentence,target_word,context_sentence,target_level,system_id
加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N3,2
日本が世界に誇る伝統工芸品である漆器や陶磁器などの輸出額も年々増加しており、経済成長を支えている重要な産業となっている。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N3,2
人口増加率だけを見ると、中国よりも高い水準にあるため、今後さらなる経済発展が見込まれる。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N3,2
日本が世界で一番豊かな国になるためには、経済成長を続けなければならない。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N3,2
その中で最も重要なものは経済である。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N3,2
これを打開するためには、経済成長による内需拡大が必要不可欠である。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N3,2
バブル崩壊後、日本経済は低迷し続けている。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N3,2
それは経済である。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N3,2
現在の日本経済において重要な役割を果たしているのは、輸出企業だ。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N3,2
今後数年間における日本経済の成長率は、世界経済の動向に左右されやすいため、非常に不確実性が高い。,経済,加州一藩の経済にとっては、勿論、金無垢の煙管一本の費用くらいは、何でもない。,N3,2
