sentence,target_word,context_sentence,target_level,system_id
軽量なものでは5kgを切るような車体を作成することも可能である。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,2
重いものは軽いものより壊れやすいのだ。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,2
重量が軽いものでは5kgを切るような車体を作成することも可能である。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,2
軽いものでは5kgを切るような車体を作成することも可能である。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,2
彼の体は重たいものだが、精神的には軽く感じている。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,2
重いものでも大丈夫ですよ！,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,2
これは重くて丈夫なものだからね。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,2
重いものではないが、軽いものでもない。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,2
彼は今まで見た中で最も軽々としたものの一つだった。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,2
この惑星には重力というものがあり、それによってすべてのものが引っ張られている。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,2
