sentence,target_word,context_sentence,target_level,system_id
自分が自分の心でするべき事だ。,する,自分が自分の心でするべき事だ。,N1,2
彼はその本を読むことにした。,する,自分が自分の心でするべき事だ。,N1,2
彼女は料理を作ることにした。,する,自分が自分の心でするべき事だ。,N1,2
彼らは仕事をすることにした。,する,自分が自分の心でするべき事だ。,N1,2
君は宿題をすることにした。,する,自分が自分の心でするべき事だ。,N1,2
私たちはパーティーをすることにした。,する,自分が自分の心でするべき事だ。,N1,2
私はこのことをしなければならない。,する,自分が自分の心でするべき事だ。,N1,2
あなたはこれをしなければならない。,する,自分が自分の心でするべき事だ。,N1,2
彼はそれをしなければならない。,する,自分が自分の心でするべき事だ。,N1,2
彼女はそれをしなければならない。,する,自分が自分の心でするべき事だ。,N1,2
彼らはそれをしなければならない。,する,自分が自分の心でするべき事だ。,N1,2
彼は仕事をするために家を出る。,する,自分が自分の心でするべき事だ。,N1,2
彼女は勉強をするために学校へ行く。,する,自分が自分の心でするべき事だ。,N1,2
私たちは食事をするためにレストランに入る。,する,自分が自分の心でするべき事だ。,N1,2
彼は何かを食べることにした。,する,自分が自分の心でするべき事だ。,N1,2
彼女は家に帰ることにした。,する,自分が自分の心でするべき事だ。,N1,2
私は仕事へ行くことにした。,する,自分が自分の心でするべき事だ。,N1,2
あなたは勉強することにした。,する,自分が自分の心でするべき事だ。,N1,2
彼らはパーティーに行くことにした。,する,自分が自分の心でするべき事だ。,N1,2
私はあなたに何かをしてあげたい！,する,自分が自分の心でするべき事だ。,N1,2
