sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
私たちが成功するかどうかは、チームの連携力による場合が非常に大きい。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
その商品を売るかどうかは、消費者の需要による場合が決め手となる。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
受験に合格するかどうかは、過去の試験の結果による場合が多い。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
家族の安全を守るためには、地域の治安状況による場合が深く関わる。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
旅行の楽しみ方は、目的地の天候による場合がどうしても影響される。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
この結果は、特殊な場合にのみ起こり得るものです。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
明日の会議での議論によって、最善の場合が見えてくるでしょう。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
事故の場合には、即座に連絡をください。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
出発時には、天候によって飛行時間が変動する場合があります。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
新しい商品に関する詳細は、プレゼンテーションの場合に説明いたします。,場合,この闘いは今日の場合では大概は容易ならぬ苦闘だからだ。,N1,3,5,I
