sentence,target_word,context_sentence,target_level,system_id
新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N5,2
「走り出す」は動詞として使われる場合もあるが、一般的には「行動を開始する」という意味で使われる。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N5,2
車や自転車など乗り物に乗って移動することを「走る」と呼ぶこともある。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N5,2
スポーツ以外でも、仕事や勉強など何かに集中して取り組むことを「走る」と表現することがある。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N5,2
学校帰りに友人と待ち合わせをしていて、急いで駅に向かったときにも「走る」という言葉がぴったりだ。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N5,2
彼は目を閉じて走り出した。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N5,2
「どうされましたか？」と尋ねると、「実はね、ちょっと走ってきました。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N5,2
走りながら私は彼を見つめた。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N5,2
この犬はとても速く走ることができた。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N5,2
「今日は早く寝よう」と思ったけど、どうしても走りたくなって夜更かししてしまった。,走る,新之助に向っている輪の中から、一人が抜けて前方に走ろうとした。,N5,2
