sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
彼女は全然教えたくなかったが、彼に自分の秘密を打ち明けた。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
昨日の試合は全然予想外の結果だった。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
その映画は全然感動しなかった。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
新しいレストランは全然味気ない料理しか提供していなかった。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
彼は全然遅刻しないと言っていたが、いつも遅れてくる。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
全然理解しなくても、彼は問題なしで仕事をこなす。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
彼の態度には全然納得できなかったので、関係を断つことにした。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
彼女の意見とは全然違っていて、議論が白熱した。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
私は全然のんびりしたいと思って、一日中家で過ごした。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
彼女は全然恥ずかしがらずに、自分の意見をはっきりと述べていた。,全然,作家と読者は、もういちど全然あたらしく地割りの協定をやり直す必要がある。,N1,3,10,I
