sentence,target_word,context_sentence,target_level,system_id
但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
日本人にとって、お祭りや伝統行事などの日本文化はとても大切だ。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
東京で生活することは、新しい文化を知る機会でもある。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
世界には様々な文化がありますが、中でも日本の文化はユニークです。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
最近ではインターネットを通じて世界中の人々と交流できるようになり、より多くの文化に接することができるようになった。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
この国には素晴らしい文化があります。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
日本にいる外国人たちは、その豊かな文化を誇りに思っている。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
もしあなたが日本人であるならば、日本語と日本文化についてもっと学ぶべきだ。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
日本には独自の文化があります。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
あなたの国にも独自の文化があるのでしょうね。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
世界には多くの文化が存在する。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
「しかし、このことについても、人類の文化が進み、人類の感情が進むにつれて、どのように変化するかはわからない。」,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
その答えを見つけるためには、まず自分自身の文化を理解しなければならない。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
「たとえどんなに遠く離れた国でも、歴史や伝統など共通した文化を持つ人々がいる。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
だから、お互いにとってより良い世界を作るために、相手の文化を尊重できるようになることが大切なんです！,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
私たちの文化は多様である。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
日本の文化には、他の国とは違う独特の特徴がある。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
この時代に生まれた日本人として、自分の文化を守り続けたい。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
外国人から見ると、日本の文化はユニークだという。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
世界各国では、さまざまな文化が発展している。,文化,但しこれも人類の文化が進み人類の感情が進んだときどう変るかそれはわかりません。,N1,2
