sentence,target_word,context_sentence,target_level,system_id
軽量なものでは5kgを切るような車体を作成することも可能である。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,3
小さなものでも、心からの感謝の気持ちは大切にしたい。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,3
美しいものを見ると、心がほっと安らぐ。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,3
辛いものばかり食べると胃もたれしてしまう。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,3
忍耐強いものは、人生の困難にも立ち向かえる。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,3
良いものを手に入れるためには、努力が必要だ。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,3
このテレビは高画質なもので、映像は非常に鮮明です。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,3
長時間使っても疲れにくいものを選びたいです。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,3
デザインのいいものを見つけるのは難しいですが、探し続けます。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,3
高価なものですが、長持ちするための投資です。,もの,軽量なものでは5kgを切るような車体を作成することも可能である。,N1,3
