sentence,target_word,context_sentence,target_level,system_id
婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
私はあなたのことを見ています。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
彼は彼女を見ている。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
彼らはその本を見ている。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
君たちは何を見ているんだ？,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
彼女は私たちから遠く離れていたので、見たこともないようなものをたくさん見た。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
彼はその仕事ぶりを見て、採用されることになった。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
notes and became more cheerful immediately. 2.老女は三百三十五円の小切手を見ると、たちまち機嫌がよくなった。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
not stop smiling. 4.彼女はその小切手を見たときとても幸せそうで、笑わずにはいられなかった。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
老婆は三百九十六の小切手を見ると、急に愛想がよくなった。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
彼女は彼の前で泣いている赤ん坊を見ていた。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N5,2
