sentence,target_word,context_sentence,target_level,system_id
また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
彼女はサッパリした性格で、いつも明るく笑っている。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
昨日の失敗を反省し、気持ちもサッパリして新たにチャレンジする。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
疲れた体に冷たい水をかけると、サッパリとした気分になる。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
季節が変わり、気候もサッパリして過ごしやすくなった。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
サッパリとした味付けのサラダは、ヘルシーな食事にぴったりだ。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
最近、暑い日が続いているけど、サッパリとした風が心地良い。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
マイナスイオンの効果で、森の中はサッパリとしている。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
毎日のストレスが溜まっていたけど、友達の笑顔を見て、気持ちがサッパリした。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
夏休みに海に行って、泳いだら体がサッパリした。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
夏の雨が降って、空気がサッパリと澄んだ。,サッパリ,また聞こえてくる君尾の笑い声、はなやかで明るくてサッパリしている。,N5,3
