sentence,target_word,context_sentence,target_level,system_id
画家はただ自分の本当の仕事だけをやればよい事となってしまった。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
彼は毎日勉強をやっています。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
私は料理をやるのが好きです。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
友達と一緒にスポーツをやりましょう。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
子供たちは遊びをやっている間に、私は掃除をします。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
明日、プレゼンテーションをやらなければなりません。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
彼は毎日一生懸命に勉強してやる。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
今日はたくさんの宿題をやる予定だ。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
サッカーの試合で全力を出してやる。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
おばあさんに手伝いをしてやると約束した。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
友達の誕生日パーティーの準備を手伝ってやることにした。,やる,画家はただ自分の本当の仕事だけをやればよい事となってしまった。,N5,3
