sentence,target_word,context_sentence,target_level,system_id
ハードルに手や足をかけても問題ない。,足,ハードルに手や足をかけても問題ない。,N1,3
マラソンの最後のスプリントは足を全力で使って走りたい。,足,ハードルに手や足をかけても問題ない。,N1,3
彼はスカイダイビングに挑戦し、高い場所から足を躍り出した。,足,ハードルに手や足をかけても問題ない。,N1,3
登山中、急な岩場で足を滑らせてしまったが、何とかつかまり上がった。,足,ハードルに手や足をかけても問題ない。,N1,3
サッカーの試合中に足を負傷してしまったが、チームは代わりの選手を送り込んだ。,足,ハードルに手や足をかけても問題ない。,N1,3
インラインスケートをするときは、必ずヘルメットと足の保護具を着用することが大切だ。,足,ハードルに手や足をかけても問題ない。,N1,3
私は足の怪我をした後でも、レースに参加することができました。,足,ハードルに手や足をかけても問題ない。,N1,3
その建物の高さに驚いて、足がすくみました。,足,ハードルに手や足をかけても問題ない。,N1,3
彼は足を骨折したにも関わらず、サッカーの試合に出場しました。,足,ハードルに手や足をかけても問題ない。,N1,3
雨の降る中、彼女は足の速さでバス停まで駆けました。,足,ハードルに手や足をかけても問題ない。,N1,3
ジムでのトレーニングによって、私の足の筋力が格段に強くなりました。,足,ハードルに手や足をかけても問題ない。,N1,3
