sentence,target_word,context_sentence,target_level,system_id
私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,3
将来の夢に向かって全力で生きることが私の目標です。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,3
長い人生を豊かに生きるためには、努力とポジティブな考え方が必要です。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,3
友情や愛情を大切にして、心地よい人間関係の中で生きたいです。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,3
自分の信念を持ちながら困難に立ち向かい、勇敢に生きることが大切です。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,3
生きることは喜びと苦しみを含む旅路です。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,3
夢を追い求めることによって、私たちは本当に生きることができます。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,3
自分自身を知ることが、充実した人生を生きる鍵です。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,3
経験から学んだことを活かし、将来のためにより良い生活を生きたいと思います。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,3
毎日を感謝の気持ちを持って生きることが、幸せな人生を作り出す秘訣です。,生きる,私はこの力を以て己れを鞭ち他を生きる事が出来るように思う。,N3,3
