sentence,target_word,context_sentence,target_level,system_id
この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
彼の言葉は深い意味を含んでいる。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
私たちは言葉の意味を正確に理解する必要がある。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
その絵画には多くの意味が込められている。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
彼女の行動には何か別の意味があるのかもしれない。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
この物語は重要な教訓を伝える意味がある。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
彼の優しい笑顔は、相手に対する思いやりの意味を表している。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
私の夢は、自由の意味を追求することです。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
彼女の行動には、何かしら隠された意味があるのではないかと思う。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
友達の応援は私にとって、励ましの意味があります。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
青空の下で歩くことは、自由と幸福の意味を感じさせてくれる。,意味,この意味で、会話は、彼の意図通り、方向を転換したと云っても差支えない。,N3,3
