sentence,target_word,context_sentence,target_level,system_id
電話をかけることを習いました。,電話,電話をかけることを習いました。,N3,3
電話で友達と計画を立てるのは楽しいです。,電話,電話をかけることを習いました。,N3,3
今日は電話でおばあちゃんに元気を聞いてあげようと思います。,電話,電話をかけることを習いました。,N3,3
私の仕事は電話で取引の相手とコミュニケーションを取ることが多いです。,電話,電話をかけることを習いました。,N3,3
電話でチケットを予約するのは便利ですね。,電話,電話をかけることを習いました。,N3,3
必要な場合は電話で先生に質問することもできます。,電話,電話をかけることを習いました。,N3,3
彼は大切な仕事のために電話をしています。,電話,電話をかけることを習いました。,N3,3
電話が鳴ったので、急いで取りに行きました。,電話,電話をかけることを習いました。,N3,3
彼女に電話をかけて、デートの約束をしました。,電話,電話をかけることを習いました。,N3,3
今日は多くの人から電話がかかってきました。,電話,電話をかけることを習いました。,N3,3
電話が途切れてしまい、話が聞き取りにくくなりました。,電話,電話をかけることを習いました。,N3,3
