sentence,target_word,context_sentence,target_level,system_id
これを認める研究者は少ない。,認める,これを認める研究者は少ない。,N1,3
彼女の努力が認められて、昇進した。,認める,これを認める研究者は少ない。,N1,3
警察はその事件を自殺と認めた。,認める,これを認める研究者は少ない。,N1,3
私たちは彼の才能を認め、彼をチームに加えることに決めた。,認める,これを認める研究者は少ない。,N1,3
彼の発言は真実とは認められない。,認める,これを認める研究者は少ない。,N1,3
その作家の作品は世界的に認められている。,認める,これを認める研究者は少ない。,N1,3
彼は私の努力を認めてくれず、いつも蔑んでいます。,認める,これを認める研究者は少ない。,N1,3
この問題に対する解決策を認めるのに時間がかかるかもしれません。,認める,これを認める研究者は少ない。,N1,3
世間は彼の意見を認めず、反対の意見が大勢を占めています。,認める,これを認める研究者は少ない。,N1,3
学者たちは彼の理論を認めず、批判の声が広がっています。,認める,これを認める研究者は少ない。,N1,3
私たちは彼の才能を認めて、彼をリーダーとして迎え入れることに決めました。,認める,これを認める研究者は少ない。,N1,3
