sentence,target_word,context_sentence,target_level,system_id
水の色が真赤になる情報があったであります。,情報,水の色が真赤になる情報があったであります。,N1,3
ニュースの情報によれば、台風が近づいているそうです。,情報,水の色が真赤になる情報があったであります。,N1,3
彼からの情報では、その企業は倒産寸前だということだ。,情報,水の色が真赤になる情報があったであります。,N1,3
最新の情報によると、地震の被害が広範囲に及んでいるようです。,情報,水の色が真赤になる情報があったであります。,N1,3
明日の天気予報によると、激しい雨の情報が入っています。,情報,水の色が真赤になる情報があったであります。,N1,3
インターネットで得た情報によれば、この映画は大ヒット中だそうです。,情報,水の色が真赤になる情報があったであります。,N1,3
私は最新の情報を手に入れた。,情報,水の色が真赤になる情報があったであります。,N1,3
そのニュースは真実の情報ではなかった。,情報,水の色が真赤になる情報があったであります。,N1,3
私たちは情報を共有して助け合った。,情報,水の色が真赤になる情報があったであります。,N1,3
彼は重要な情報を秘密裏に収集している。,情報,水の色が真赤になる情報があったであります。,N1,3
