sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
当駅ではすべてのドアが開く。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
この本は面白い話で始まり、次のページはドラマチックに開く。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
私の手紙は彼女の手に渡り、彼女の顔が驚きで開いた口が塞がらなかった。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
庭の木々が春になると花が開き、美しい色彩が広がる。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
パーティーに参加すると、新たな人間関係が開き、楽しい時間を過ごせる。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
星空が闇から光が開き、天体の美しさが現れる。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
山の景色は美しく、心は開かれる。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
お店の前で風が開く音が聞こえる。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
昨夜はたくさんの花火が開いた。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
パーティーの招待状が郵便受けから開いた。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
毎朝、新しい日が開くのを感じる。,開く,当駅ではすべてのドアが開く。,N5,3,27,I
