sentence,target_word,context_sentence,target_level,system_id
成東の停車場をおりて、町形をした家並みを出る。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
駅から出て、住宅地に入る。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
私は学校から出て、自宅へ帰る。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
彼は店から出て、車に乗った。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
彼女はバスから出て、公園で座った。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
駅に着いたら、列車が出たばかりで、人影もまばらだった。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
駅に行って出た。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
電車が来て出た。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
店で買い物をして出た。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
学校へ行って出た。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
公園から出た。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
おばあちゃんが出てきたので、部屋に戻った。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
今日は雨が降っていたので、外に出るのも面倒だった。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
「駅から出た」と言うときは、電車やバスなどで目的地に着いて下車することを指す。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
何かを出すという意味ではなく、外に出るという動詞として使われる場合もある。,出る,成東の停車場をおりて、町形をした家並みを出る。,N3,2
