sentence,target_word,context_sentence,target_level,system_id
自分の意思で、内部に入ろうと思わなければ、中には入れない。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
私は大学に入るために一生懸命勉強しました。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
彼は新しい会社に入って新たなキャリアをスタートしました。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
早朝に公園に入ると、新鮮な空気を感じます。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
彼女は夜遅くに家に入ると、静かな暖かさに包まれました。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
このカギで部屋に入ることができます。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
彼は新しいチームに入るために必要なスキルを磨いている。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
クラブに入る前に、必要な手続きを終わらせなければなりません。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
難しい問題に取り組むときは、冷静な心で入ることが重要です。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
オフィスビルの入り口で身分証明書を見せて入る必要があります。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
新しい展示会に入ることで、私たちの商品を多くの人に知ってもらえるでしょう。,入る,自分の意思で、内部に入ろうと思わなければ、中には入れない。,N3,3
