sentence,target_word,context_sentence,target_level,system_id
心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
彼は空を飛ぶように速く走れるので、いつも遠くまで行くことができる。,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
私たちは飛ぼうとした鳥だ！,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
彼は飛びたい虫だ！,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
彼女は飛んでいる蝶だ！,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
彼らは空を飛ぶ翼を持っている！,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
風向きによって飛び方が違う鳥たち。,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
あの子はいつも高く飛んでいる。,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
私はただ遠くまで飛ぼうとしていただけなのに。,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
空を飛ぶ鳥たちよ、翼を休めておくれ。,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
大空を飛ぼうとする者は、必ずしも幸福にはなれない。,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
あの鳥たちは飛びながら死んだ。,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
彼女は雲の上を飛んでいるようだ。,飛ぶ,心は光りの飛ぶごとくにあらゆる道理の中を駈巡ったが、何をとらえることも出来無かった。,N3,2
