sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
俺はそこで二時間ほど調べられた。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
．彼女との時間はいつも癒しのひとときだ。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
．発表までの時間が迫っているので、準備に集中しなければ。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
．彼の熱心な練習のおかげで、プレーの時間が格段に向上した。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
．会議の時間を変更したいのですが、可能でしょうか。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
．彼女の歌声に聞き惚れて、時間を忘れてしまった。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
インターネットのサーバーがダウンしていて、私たちは一時間も待たされました。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
彼は一時間もかけてみんなの意見を聞きました。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
父は毎晩、仕事から帰るのが遅く、帰宅するのにいつも時間がかかります。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
姉は毎週土曜日にピアノの練習に三時間も費やしています。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
作業に集中するために、私はデスク周りの整理に一時間をかけました。,時間,俺はそこで二時間ほど調べられた。,N1,3,3,A
