sentence,target_word,context_sentence,target_level,system_id
一方で投機にも手を出しては失敗を重ねていた。,手,一方で投機にも手を出しては失敗を重ねていた。,N3,2
日本人にとって一番身近な道具といえば、やはり「手」ではないだろうか。,手,一方で投機にも手を出しては失敗を重ねていた。,N3,2
彼女はいつも丁寧に仕事をこなすことで知られているが、そのためには決して手を抜かないという強い意志が必要だ。,手,一方で投機にも手を出しては失敗を重ねていた。,N3,2
一方、彼は投資に手を出し、失敗を重ねていた。,手,一方で投機にも手を出しては失敗を重ねていた。,N3,2
一方、彼は株取引に手を出し、失敗を重ねていた。,手,一方で投機にも手を出しては失敗を重ねていた。,N3,2
一方、彼は株式市場に手を出し、失敗を重ねていた。,手,一方で投機にも手を出しては失敗を重ねていた。,N3,2
一方、彼は先物取引に手を出し、失敗を重ねていた。,手,一方で投機にも手を出しては失敗を重ねていた。,N3,2
一方、彼はオプション取引に手を出し、失敗を重ねていた。,手,一方で投機にも手を出しては失敗を重ねていた。,N3,2
彼は仕事も趣味も一生懸命に取り組んでいたが、一方で投機にも手を出しては失敗を重ねていた。,手,一方で投機にも手を出しては失敗を重ねていた。,N3,2
彼は大学受験に合格するために勉強したが、一方で投機にも手を出しては失敗を重ねていた。,手,一方で投機にも手を出しては失敗を重ねていた。,N3,2
