sentence,target_word,context_sentence,target_level,system_id
婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
公園で子供たちが楽しそうに遊んでいるのを見ると、私も笑顔になります。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
ドラマを見ると、感情に引き込まれてしまいます。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
山の頂上からの景色を見ると、息をのむほど美しかったです。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
長い間練習を重ねた後、ついに自分の作品が美術館で展示されるのを見ることができました。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
雨の後、虹が空にかかっているのを見ると、なんだか幸せな気持ちになります。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
山の頂上から、美しい景色を見ることができます。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
今日は友達と映画を見に行きます。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
私は新しい本を読み終わった後、次はどの本を読むか見ています。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
あの建物は歴史的な価値があるので、ぜひ見てみたいです。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
とても美味しそうなケーキを見たので、買って帰りました。,見る,婆さんは三百弗の小切手を見ると、急に愛想がよくなりました。,N3,3
