sentence,target_word,context_sentence,target_level,system_id
這入りこんで現場を見届けてやろう。,現場,這入りこんで現場を見届けてやろう。,N5,3
駅の改装工事現場で頑張って作業しています。,現場,這入りこんで現場を見届けてやろう。,N5,3
現場では医師と看護師が連携して働いています。,現場,這入りこんで現場を見届けてやろう。,N5,3
火災現場の近くに住んでいるため、避難訓練を行っています。,現場,這入りこんで現場を見届けてやろう。,N5,3
工場の生産ライン現場では新しい機械を導入しました。,現場,這入りこんで現場を見届けてやろう。,N5,3
建設現場での安全対策を厳守することはとても重要です。,現場,這入りこんで現場を見届けてやろう。,N5,3
彼は現場で一生懸命働いています。,現場,這入りこんで現場を見届けてやろう。,N5,3
現場には多くの職人が集まっています。,現場,這入りこんで現場を見届けてやろう。,N5,3
現場の状況によってプランを変更しましょう。,現場,這入りこんで現場を見届けてやろう。,N5,3
現場は予想以上に大きいですね。,現場,這入りこんで現場を見届けてやろう。,N5,3
大事なのは現場での経験です。,現場,這入りこんで現場を見届けてやろう。,N5,3
