sentence,target_word,context_sentence,target_level,system_id
そして弾丸が始終高い所ばかりを飛ぶようになった。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
彼は高いビルの頂上からパラシュートで降りてきた。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
学校のプールはとても高い塀で囲まれている。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
私たちは高い山に登るのが大好きです。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
彼女の声は高い音程で歌うことができる。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
あのレストランの料理は高い値段ですが、美味しいです。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
山の頂上は高いところにある。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
このビルの入場料は高いです。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
彼は高い音楽の才能を持っています。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
私たちは高い速度で湖をボートで走りました。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
彼女の声は高い音程を持っています。,高い,そして弾丸が始終高い所ばかりを飛ぶようになった。,N5,3
