sentence,target_word,context_sentence,target_level,system_id
鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
彼の鋭い眼差しは、私を威圧した。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
彼女の鋭い視線から逃れるため、私は部屋の隅に隠れた。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
その言葉には鋭い棘があった。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
このナイフは鋭く尖っている。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
あの人は鋭い目つきをしている。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
"All translations of ""鋭い""1.彼の鋭い目つきを見ていると、その視線の先にあるものが気になって仕方がない。",鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
彼女の鋭い眼光には誰も逆らえない。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
あの子の鋭い剣幕に負けてしまった。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
私たちの会話はいつも鋭く突き刺さるようだ。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
鋭く研がれた刃物のような目をした人だ。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
彼はとても鋭い観察力と洞察力を持っている。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
彼女の鋭い感性から繰り出される言葉にはいつも驚かされる。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
その鋭い眼光によって、私は一瞬にして虜にされてしまった。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
この鋭い刀身では、斬られたものは決して元には戻らない。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
鋭く研がれた包丁を持っていたら、とても危険だ。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
目はまるで鋭いナイフのようだ。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
彼女の声は驚くほど鋭かった。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
あの人はいつも何かに怒っているみたいだけど、それって鋭いんだね。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
彼女の鋭い視線を感じた。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
彼の鋭い観察眼にはいつも驚かされる。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
その鋭く尖った歯では、決して噛みつかれたり刺されたりすることはないだろう。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
この剣は鋭い刃先を持っているため、一度でも手にした者は二度と手放すことはできない。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
私たちは鋭い目つきと素早い動きで敵から身を守るべきだ。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N5,2
