sentence,target_word,context_sentence,target_level,system_id
僕は勿論社会科学に何の知識も持っていなかった。,社会,僕は勿論社会科学に何の知識も持っていなかった。,N1,3
彼は社会の変化に敏感で、常に最新のトレンドについて研究している。,社会,僕は勿論社会科学に何の知識も持っていなかった。,N1,3
社会のルールに従わず、彼は独自の行動を選択している。,社会,僕は勿論社会科学に何の知識も持っていなかった。,N1,3
彼女は社会問題に対して熱心に取り組んでおり、さまざまなイベントやキャンペーンに参加している。,社会,僕は勿論社会科学に何の知識も持っていなかった。,N1,3
社会の中で生きることに関する彼の考え方は独特であり、多くの人を驚かせる。,社会,僕は勿論社会科学に何の知識も持っていなかった。,N1,3
彼は社会の不平等に対して強い憤りを抱いており、積極的にそれを解決するための活動に参加している。,社会,僕は勿論社会科学に何の知識も持っていなかった。,N1,3
私たちの社会は、多様性を受け入れることが重要です。,社会,僕は勿論社会科学に何の知識も持っていなかった。,N1,3
社会の問題を解決するためには、共同の努力が必要です。,社会,僕は勿論社会科学に何の知識も持っていなかった。,N1,3
この小説は、現代の社会問題についての洞察を与えてくれます。,社会,僕は勿論社会科学に何の知識も持っていなかった。,N1,3
スポーツは社会統合を促進する重要な要素です。,社会,僕は勿論社会科学に何の知識も持っていなかった。,N1,3
