sentence,target_word,context_sentence,target_level,system_id
彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
彼はとても熱心だったから、テストで90点以上取った。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
彼女は彼からお金を取った。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
あなたは今まで誰かからお金を取ったことがありますか？,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
彼女は自分の仕事に対する熱意と、それを取ろうとする貪欲さで知られていた。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
彼は何かを取ろうとするとき、いつもそれを落としてしまう。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
彼は一生の間、懸命な努力によって30円以上の月給を取ろうとしたが、それさえ叶わなかった。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
彼女は自分の人生でできる限りの力を尽くし、どんなに頑張っても30円以上の月給を取ることはできなかった。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
この人は本当に一生懸命仕事をしたにもかかわらず、いくら頑張っても30円以上の月給を取ることはできなかった。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
これらの文章はどれも「取る」という言葉を使っているが、内容はすべて異なる。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
私は彼女からお金を取りたい。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
彼は本を一冊取って、それを読んだ。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
彼女はお金を一万円取った。,取る,彼らはじつにその生涯の勤勉努力をもってしてもなおかつ三十円以上の月給を取ることが許されないのである。,N1,2
