sentence,target_word,context_sentence,target_level,system_id
自分の将来の目的に向かってバリバリ勉強していた。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,2
彼は仕事でバリバリ稼いでいる。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,2
「彼は仕事が大好きで、毎日バリバリ働いている」,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,2
何でもバリバリやれるよ！」,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,2
私は高校卒業後、就職するためにバリバリ勉強していた。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,2
今日もバリバリ働いてきました！,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,2
彼は大学を卒業し、バリバリ仕事をしている。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,2
彼女は海外留学から帰国し、バリバリ働き始めた。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,2
君は今、バリバリ頑張っているね。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,2
彼は、仕事でバリバリ活躍するキャリアウーマンだ。,バリバリ,自分の将来の目的に向かってバリバリ勉強していた。,N3,2
