sentence,target_word,context_sentence,target_level,system_id,block_id,random_ordering
また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
彼は相手の発言に敏感に反応した。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
相手を信頼できるかどうかを見極める必要がある。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
相手の意見を尊重することが大切だ。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
彼は相手の心情を理解しようとして努力した。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
相手の弱点を突くことによって勝利を手にした。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
相手の言葉にしっかりと耳を傾けながら、自分の意見を伝えることが大切です。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
私たちは互いに相手の視点を理解し合い、問題を解決する必要があります。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
出発前に相手のスケジュールを確認することで、円滑な進行が可能になります。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
相手の感情に気を配りながら、適切なアドバイスをすることが重要です。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
彼の言葉に対して怒りを抱く代わりに、相手の立場や思いを考えようと努めましょう。,相手,また、東西お互いに相手を非難するプロパガンダ放送を流し合っていた。,N3,3,11,I
