sentence,target_word,context_sentence,target_level,system_id
鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
彼の鋭い観察力は、常に物事の本質を見抜くことができる。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
その鋭い感覚により、彼女は問題の核心を見つけ出した。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
彼の鋭い指摘により、私たちは自分の考え方を再評価する必要があった。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
鋭い視点から見た彼の提案は、新たなビジネスの可能性を示している。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
彼の鋭い分析により、私たちは効率的な解決策を見つけることができた。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
彼の視線は鋭く私を貫いた。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
彼の議論は鋭い論理で支持されている。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
鋭い感覚を持つ彼女は、他の人々の感情を的確に察知することができる。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
彼の批評は鋭い切り口で、多くの人々に刺さった。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
彼女の鋭い勘によって、事件の真相が暴かれた。,鋭い,鋭い鎌でどんな物も真っ二つにしてしまうがこんにゃくだけは切れない。,N3,3
